;meta[language=en]
; id      |key(hex)|key(str)| text
;
; rename this file to mod<YOUR MODNAME>.speech.csv and
; add all strings for custom voicelines like the example line below.
;
; make sure the XXXX is the string id-space of the project and nnn is unique
; for every line.
;
;211XXXXnnn|||example voiceline text
;
2115984000|00000000||Agloval
2115984001|00000000||Sh'eenaz
2115984002|00000000||Gaunter O'Dimm
2115984003|00000000||Geralt finally succeeds in overcoming Gaunter O'Dimm.<br/>I hope this news eases Essi's spirit where she is, even if it doesn't bring her back to us.<br/>
2115984004|00000000||Geralt and Essi met in Bremervoord.<br/>Despite Geralt's clumsiness and lack of tact, Essi fell under the witcher's spell, but it wasn't reciprocated.<br/>Geralt, Essi and I went a little way together, then we separated.<br/>A few years later, Poppet died of smallpox.<br/><br/>Recent events have made me feel the need to visit Poppet's grave.<br/>I take this opportunity to inform Geralt of Essi's doom, and show him her burial place.<br/>
2115984005|00000000||It turned out that the fate of Poppet was not the fruit of chance, but had been caused by this devil of Master Mirror.<br/>
2115984006|00000000||Essi Daven
2115984007|00000000||Following their exchange in Novigrad, Sh'eenaz told Geralt where he could find one of those Sky Blue Pearls he needed.<br/>
2115984008|00000000||A few years ago, Geralt had been hired by Duke Agloval to convince his beloved mermaid Sh'eenaz to make "a little sacrifice", and change her mermaid tail for human legs.<br/>After a few adventures, and the meeting of my dear Essi Daven, also nicknamed "Little-Eye", or more personally "Poppet", Sh'eenaz finally agreed to join definitively on dry land, her beloved Agloval.<br/>
2115984009|00000000||Sh'eenaz and Agloval
2115984010|00000000||MOD questgroup_sted Quests
2115984011|00000000||Search a Sky Blue Pearl.
2115984012|00000000||Search a Sky Blue Pearl.
2115984013|00000000||Follow Dandelion.
2115984014|00000000||Go back to Yennefer with the pearl.
2115984015|00000000||Visit Skellige to ask Yennefer for help.
2115984016|00000000||Defeat Gaunter O'Dimm.
2115984017|00000000||Return to the road to Vizima.
2115984018|00000000||Find Duke Agloval and his mate Sh'eenaz in Novigrad.
2115984019|00000000||Geralt learned of Essi's sad fate and later discovered that this devil Gaunter O'Dimm had provoked it.<br/>A mixture of anger and injustice filled Geralt, who went to Yennefer for help.<br/>
2115984020|00000000||Returning to Yennefer after finding the pearl, Geralt was surprised to see Ciri there.<br/>Ciri told him that as a child in the Temple of Melitele, she had read Essi's collection of poems, and that it had filled her with emotion.<br/>Meanwhile Yennefer had found a way to enchant the pearl to help them defeat the demon.<br/>
2115984021|00000000||Although noticeably jealous at Geralt's mention of Poppet, Yennefer agreed to help him.<br/>She asked him to find a sky blue pearl like the one Geralt had given to Little-Eye.<br/>To do this she advised him to find Agloval, Duke of Bremerwoord, and her companion Sh'eenaz, the celadon-haired mermaid, who agreed for love to change her fishtail into legs.<br/>
2115984022|00000000||I was waiting for Geralt not far from White Orchard, to show a him a special place to me.<br/>
2115984023|00000000||The pearl enchanted by Yennefer had the desired effect, and allowed Geralt and Ciri to defeat Gaunter O'Dimm, and thus avenge Poppet.<br/>
2115984024|00000000||Sh'eenaz pointed Geralt to a place where he could find one of these pearls.<br/>
2115984025|00000000||A Small Tribute to Poppet
2115984026|00000000|item_name_sted_misc_sky_blue_pearl|Sky Blue Pearl
2115984027|00000000|item_desc_sted_misc_sky_blue_pearl|Item needed to complete Essi Daven's quest.
2115984028|00000000|dlc_name_sted|A Small Tribute to Essi Daven
2115984029|00000000|option_dlc_name_sted|MOD: A Small Tribute to Essi Daven
2115984030|00000000|content_name_dlc_sted|MOD: A Small Tribute to Essi Daven
;
2115984100|00000000||Very well, I follow you.
2115984101|00000000||I find you different from usual.
2115984102|00000000||Dandelion?
2115984103|00000000||What are you doing here? So far from Novigrad.
2115984104|00000000||Hello, Geralt.
2115984105|00000000||I suppose that your presence here is due to another one of your conquests.
2115984106|00000000||Not really…
2115984107|00000000||Yes it's for a lady,
2115984108|00000000||but not for what you think.
2115984109|00000000||You intrigue me, Dandelion.
2115984110|00000000||I want you to go with me to a special place not far from here.
2115984111|00000000||I will tell you more when we get there.
2115984112|00000000||I find you different from usual, and if you ask me to come with you, you must have a good reason.
2115984113|00000000||Indeed, Geralt.
2115984114|00000000||Very well, I follow you.
2115984115|00000000||Let's go.
;
2115984200|00000000||You see in the distance, it's Vizima.
2115984201|00000000||Some time ago a smallpox epidemy has raged there.
;
2115984210|00000000||No! It's impossible!
2115984211|00000000||A good thing done.
2115984212|00000000||Absolutely.
;
2115984220|00000000||Now Poppet,
2115984221|00000000||I hope you rest in peace.
2115984222|00000000||It's certain Geralt.
2115984223|00000000||She knows now that she was important to you too.
2115984224|00000000||I return to my Path.
2115984225|00000000||See you soon.
2115984226|00000000||See you soon, Ciri.
;
2115984230|00000000||I hope you rest in peace now Essi.
2115984231|00000000||I will try to dig into my mind, to find my memories by your side.
2115984232|00000000||Even if you don't remember her precisely yet,
2115984233|00000000||she knows what you just did for her.
2115984234|00000000||I return to my Path.
2115984235|00000000||See you soon.
2115984236|00000000||See you soon, Ciri.
;
2115984300|00000000||Yes, I remember.
2115984301|00000000||Sorry, but I don't remember.
2115984302|00000000||Here we are. It's here.
2115984303|00000000||Here what?
2115984304|00000000||Here where rests Essi.
2115984305|00000000||Do you remember Little-Eye?
2115984306|00000000||Yes, I remember. The memory of her came back to me quite quickly after my amnesia.
2115984307|00000000||I considered Poppet as my little sister.
2115984308|00000000||She was running after life, while death was on her heels.
2115984309|00000000||She was in Vizima at the time of the smallpox epidemic. And it took her away.
2115984310|00000000||I couldn't be able to bring myself to watch her body burning on the funeral pyres.
2115984311|00000000||So I buried her in this peaceful place, far from the city.
2115984312|00000000||This is very sad news that you are telling me.
2115984313|00000000||I was not able to return to her the feelings she had for me. But it is certain that she affected me.
2115984314|00000000||She did not deserve this tragic fate.
2115984315|00000000||Sorry, but I don't remember. I guess it's due to my amnesia.
2115984316|00000000||You met some years ago with Essi, when you and I went to Bremervoord.
2115984317|00000000||She had genuine feelings for you, even though things were different on your end.
2115984318|00000000||The three of us went a little way together, then we separated.
2115984319|00000000||She kept, worn as a lucky talisman, the sky blue pearl that you gave her.
2115984320|00000000||I considered Poppet as my little sister.
2115984321|00000000||She was running after life, while death was on her heels.
2115984322|00000000||She was in Vizima at the time of the smallpox epidemic. And it took her away.
2115984323|00000000||I couldn't be able to bring myself to watch her body burning on the funeral pyres.
2115984324|00000000||So I buried her in this peaceful place, far from the city.
2115984325|00000000||This is very sad news that you are telling me.
2115984326|00000000||I regret telling that her sky blue pearl would bring her luck.
2115984327|00000000||No, Geralt.
2115984328|00000000||She knew your words were a little sacrifice to make her feel better.
2115984329|00000000||And yet it was your sky blue pearl that gave her the courage to face her greatest fear. Because a part of you accompanied her.
2115984330|00000000||Like her lute, she kept it with her until the end. And still carries it on her heart.
2115984331|00000000||Sometimes Essi comes back to life in my dreams, as if nothing had happened.
2115984332|00000000||Thank you, Geralt, for coming with me.
