;meta[language=ru]
; id      |key(hex)|key(str)| text
;
; rename this file to mod<YOUR MODNAME>.speech.csv and
; add all strings for custom voicelines like the example line below.
;
; make sure the XXXX is the string id-space of the project and nnn is unique
; for every line.
;
;211XXXXnnn|||example voiceline text
;
2115984000|00000000||Агловаль
2115984001|00000000||Шъееназ
2115984002|00000000||Гюнтер о'Дим
2115984003|00000000||Геральт наконец смог одолеть Гюнтера о'Дима.<br/>Надеюсь эта новость успокоит дух Эсси, где бы он не находился.<br/>
2115984004|00000000||Геральт и Эсси по прозвищу Глазок впервые встретились в Бремервоорде.<br/>Несмотря на угрюмости и нетактичность Геральта, Эсси была очарована ведьмаком, но это не было взаимно.<br/>Геральт, Эсси и я некоторое время следовали одной дорогой, но затем разошлись.<br/>Спустя несколько лет Глазок умерла от оспы.<br/><br/>Недавние события побудили меня посетить могилу Эсси.<br/>Я решил, что ведьмаку стоит знать о случившемся, и позвал его, чтобы посетить могилу вместе.<br/>
2115984005|00000000||Оказалось, что судьба Глазок не была волей случая, но была вызвана злою волей господина Зеркало.<br/>
2115984006|00000000||Эсси Давен
2115984007|00000000||После их встречи в Новиграде Шъееназ сказала Геральту, где он может добыть одну из тех небесно-голубых жемчужин.<br/>
2115984008|00000000||Несколько лет назад герцог Агловаль нанял Геральта, чтобы тот убедил его любимую, русалку Шъееназ принести "маленькую жертву" чтобы заменить её русалочий хвост на человеческие ноги.<br/>После нескольких приключений и встречи с моей дорогой Эсси Дэвен, по прозвищу Глазок, Шъееназ наконец согласилась окончательно перейти на сушу, к её любимому Агловалю.<br/>
2115984009|00000000||Шъееназ и Агловаль
2115984010|00000000||MOD questgroup_sted Quests
2115984011|00000000||Найти небесно-голубую жемчужину.
2115984012|00000000||Найти небесно-голубую жемчужину.
2115984013|00000000||Следовать за Лютиком.
2115984014|00000000||Вернуться к Йеннифэр с жемчужиной.
2115984015|00000000||Отправиться на Скеллиге за помощью Йеннифэр.
2115984016|00000000||Победить Гюнтера о'Дима.
2115984017|00000000||Вернуться к дороге в Вызиму.
2115984018|00000000||Найти князя Агловаля и его пару Шъееназ в Новиграде.
2115984019|00000000||Геральт узнал о печальной судьбе Эсси, а позже обнаружил, что это Гюнтер о'Дим спровоцировал это.<br/>Чувство гнева и несправедливости наполнили Геральта, что побудило его обратиться за помощью к Йеннифэр.<br/>
2115984020|00000000||Вернувшись к Йеннифэр после того, как нашел жемчужину, Геральт был удивлен, увидев там Цири.<br/>Цири рассказала ему, что в детстве в храме Мелитэле она прочитала сборник стихов Эсси, которые наполнили её эмоциями.<br/>Тем временем Йеннифэр нашла способ зачаровать жемчужину так, чтобы помочь им победить демона.<br/>
2115984021|00000000||Несмотря на ревнивые чувства при упоминании Геральтом Глазка, Йеннифэр согласилась помочь ему.<br/>Она попросила его найти небесно-голубую жемчужину, подобную той, которую Геральт когда-то подарил Глазку.<br/>Для этого она посоветовала ему найти Агловаля, князя Бремервоорда, и его спутницу Шъееназ, русалку с волосами цвета морской волны, которая ради любви согласилась сменить свой русалочий хвост на ноги.<br/>
2115984022|00000000||Я ждал Геральта недалеко от Белого сада, чтобы показать ему особое для меня место.<br/>
2115984023|00000000||Жемчужина, заколдованная Йеннифэр, произвела желаемый эффект и позволила Геральту и Цири победить Гюнтера о'Дима и таким образом отомстить за Глазок.<br/>
2115984024|00000000||Шъееназ указала Геральту место, где он мог бы найти одну из таких жемчужин.<br/>
2115984025|00000000||Небольшая дань уважения Глазку
2115984026|00000000|item_name_sted_misc_sky_blue_pearl|Небесно-голубая жемчужина
2115984027|00000000|item_desc_sted_misc_sky_blue_pearl|Предмет, необходимый для выполнения задания Эсси Давен.
2115984028|00000000|dlc_name_sted|Небольшая дань уважения Глазку
2115984029|00000000|option_dlc_name_sted|МОД: Небольшая дань уважения Глазку
2115984030|00000000|content_name_dlc_sted|МОД: Небольшая дань уважения Глазку
;
2115984100|00000000||Хорошо, веди.
2115984101|00000000||Ты какой-то странный.
2115984102|00000000||Лютик?
2115984103|00000000||Что ты здесь делаешь? Так далеко от Новиграда.
2115984104|00000000||Привет, Геральт.
2115984105|00000000||Полагаю, ты здесь, чтобы завоевать очередное женское сердце?
2115984106|00000000||Не совсем…
2115984107|00000000||Да, это ради женщины.
2115984108|00000000||но не то, о чём ты думаешь.
2115984109|00000000||Ты меня заинтриговал, Лютик.
2115984110|00000000||Я бы хотел, чтобы ты сходил со мной в одно место, неподалёку отсюда.
2115984111|00000000||Я расскажу подробнее, когда мы придём.
2115984112|00000000||Это не похоже на тебя - просить сходить куда-то с тобой, видимо у тебя есть веская причина.
2115984113|00000000||Определённо, Геральт.
2115984114|00000000||Хорошо, веди.
2115984115|00000000||Идём.
;
2115984200|00000000||Видишь вдалеке Вызиму?
2115984201|00000000||Несколько лет назад там свирепствовала эпидемия оспы.
;
2115984210|00000000||Нет! Невозможно!
2115984211|00000000||Мы сделали хорошее дело.
2115984212|00000000||Однозначно.
;
2115984220|00000000||Теперь Глазок,
2115984221|00000000||Я надеюсь ты покоишься с миром.
2115984222|00000000||Определённо, Геральт.
2115984223|00000000||Теперь она знает, что тоже была для тебя важна.
2115984224|00000000||Я возвращаюсь на свой Путь.
2115984225|00000000||До встречи.
2115984226|00000000||До встречи, Цири.
;
2115984230|00000000||Я надеюсь, что теперь ты покоишься с миром, Эсси.
2115984231|00000000||Я постараюсь найти в своей памяти все воспоминания о тебе.
2115984232|00000000||Даже если ты ещё не всё о ней вспомнил,
2115984233|00000000||она знает что ты только что сделал для неё.
2115984234|00000000||Я возвращаюсь на свой Путь.
2115984235|00000000||До встречи.
2115984236|00000000||До встречи, Цири.
;
2115984300|00000000||Да, я помню.
2115984301|00000000||Прости, но я не помню.
2115984302|00000000||Вот.. Это здесь.
2115984303|00000000||Что здесь?
2115984304|00000000||Здесь покоится Эсси.
2115984305|00000000||Ты помнишь Глазок?
2115984306|00000000||Да, помню. Память о ней вернулась ко мне вскоре после амнезии.
2115984307|00000000||Я считал Глазок своей младшей сестрой.
2115984308|00000000||Она бежала за жизнью, в то время как смерть следовала за ней по пятам.
2115984309|00000000||Она была в Визиме во время эпидемии оспы. И болезнь забрала её.
2115984310|00000000||Я бы не мог заставить себя смотреть, как её тело сгорает на погребальном костре.
2115984311|00000000||Поэтому я похоронил её за городом, в тихом месте.
2115984312|00000000||Ты рассказываешь мне очень печальные известия.
2115984313|00000000||Я не смог ответить её взаимностью на её чувства. Но несомненно, она повлияла на меня.
2115984314|00000000||Она не заслужила такой ужасной участи.
2115984315|00000000||Прости, но я не помню. Видимо, это из-за моей амнезии.
2115984316|00000000||Мы встретились с Эсси несколько лет назад, когда мы с тобой были в Бремервоорде.
2115984317|00000000||У нее были искренние чувства к тебе, несмотря на то, что с твоей стороны все было иначе.
2115984318|00000000||Мы прошли недолгий путь вместе, затем наши дороги разошлись.
