;meta[language=en]
; id      |key(hex)|key(str)| text
2115984100|00000000||Very well, I follow you.
2115984101|00000000||I find you different from usual.
2115984102|00000000||Dandelion?
2115984103|00000000||What are you doing here? So far from Novigrad.
2115984104|00000000||Hello, Geralt.
2115984105|00000000||I suppose that your presence here is due to another one of your conquests.
2115984106|00000000||Not really…
2115984107|00000000||Yes it's for a lady,
2115984108|00000000||but not for what you think.
2115984109|00000000||You intrigue me, Dandelion.
2115984110|00000000||I want you to go with me to a special place not far from here.
2115984111|00000000||I will tell you more when we get there.
2115984112|00000000||I find you different from usual, and if you ask me to come with you, you must have a good reason.
2115984113|00000000||Indeed, Geralt.
2115984114|00000000||Very well, I follow you.
2115984115|00000000||Let's go.
