;meta[language=en]
; id      |key(hex)|key(str)| text
2115984800|00000000||It's too dangerous.
2115984801|00000000||You don't know what you want to measure yourself against.
2115984802|00000000||Ciri?
2115984803|00000000||Yennefer told me what you asked her.
2115984804|00000000||That's when I remembered Essi Daven's small and beautifully bound volume entitled "The Blue Pearl".
2115984805|00000000||I had read it as a child when I was in training with Yennefer at the Melitele's Temple.
2115984806|00000000||This book had filled me with emotion,
2115984807|00000000||and now I understand why.
2115984808|00000000||I wouldn't want to interrupt you,
2115984809|00000000||but know that my research has paid off.
2115984810|00000000||My intuition was right.
2115984811|00000000||An object linking you to the deceased is indeed useful.
2115984812|00000000||As I feared,
2115984813|00000000||this should not allow you to destroy this abomination,
2115984814|00000000||but it will help you to send him back where he came from,
2115984815|00000000||and this for quite a while.
2115984816|00000000||Do you have one of these pearls?
2115984817|00000000||You'll have to put it on your friend's grave.
2115984818|00000000||This will summon and weaken the demon.
2115984819|00000000||All you will have to do then is use your skills in combat.
2115984820|00000000||What do you mean by "you"?
2115984821|00000000||I am coming with you.
2115984822|00000000||I did not know Essi Daven,
2115984823|00000000||but knowing now what was hidden behind these subtle ballads,
2115984824|00000000||I immediately wanted to help you to destroy this devil.
2115984825|00000000||It's too dangerous.
2115984826|00000000||I go there alone.
2115984827|00000000||Out of the question.
2115984828|00000000||Even weakened,
2115984829|00000000||it's preferable that you will be two to defeat him.
2115984830|00000000||I don't like it but I guess I have no choice.
2115984831|00000000||Exactly.
2115984832|00000000||Very well…
2115984833|00000000||Are you ready?
2115984834|00000000||I've been ready since the minute I got here.
2115984835|00000000||So let's go.
2115984836|00000000||Come back to me unscathed.
2115984837|00000000||You don't know what you want to measure yourself against.
2115984838|00000000||I've already faced some very powerful creatures.
