;meta[language=en]
; id      |key(hex)|key(str)| text
2115984900|00000000||Essi rests here.
2115984901|00000000||I will put the pearl on her grave.
2115984902|00000000||Yes, let's get it over with.
2115984903|00000000||It works!
2115984904|00000000||Stays alert.
2115984905|00000000||But what the…
2115984906|00000000||In the end, it seems that it was me who decided on our next meeting.
2115984907|00000000||And it will be the last.
2115984908|00000000||I see you didn't come alone.
2115984909|00000000||Shame…
2115984910|00000000||I could have had plans for her too.
2115984911|00000000||But I have no other choice than kill you both now.
2115984912|00000000||We'll see…
